Total Housing Units,Year,Median Year Structure Built,Median Year Moved In,Percent with Bachelor's degree,Median rent burden,Evictions per units,Percent Black,Percent White,Percent Asian,Percent Native,Neighbors Mean,Number Stops,num shuttle stops
2100.0,2012,1939.0,2003.0,41.3,26.4,0.0004761904761904762,0.013503737641668677,0.7861104412828551,0.1427537979262117,0.0,1.0,14,0.0
2098.0,2014,1939.0,2005.0,6.4,28.0,0.00047664442326024784,0.017402945113788492,0.7867023650156181,0.12985274431057564,0.0,1.0,14,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,0.0,14,0.0
2243.0,2011,1939.0,2005.0,42.2,22.8,0.0013374944271065535,0.05130434782608696,0.8652173913043478,0.050724637681159424,0.0028985507246376808,0.0,13,0.0
2212.0,2013,1939.0,2005.0,35.2,23.6,0.00135623869801085,0.03768913342503439,0.8335625859697386,0.08858321870701512,0.004951856946354884,3.0,13,0.0
2203.0,2014,1939.0,2006.0,6.7,23.5,0.0009078529278256924,0.014868951612903225,0.8596270161290323,0.0924899193548387,0.00655241935483871,3.0,13,0.0
2207.0,2016,1939.0,2011.0,1298.0,22.3,0.0009062075215224287,0.012,0.77275,0.16075,0.0,2.0,13,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,2.0,13,0.0
1828.0,2013,1939.0,2008.0,48.6,21.6,0.0005470459518599561,0.01946282600233554,0.8053717399766446,0.1268976255352277,0.0,0.0,15,0.0
1854.0,2014,1939.0,2010.0,6.3,22.1,0.0005393743257820927,0.01658950617283951,0.8024691358024691,0.1412037037037037,0.0007716049382716049,1.0,15,0.0
1861.0,2015,1939.0,2010.0,968.0,21.2,0.0010746910263299302,0.02558139534883721,0.7399224806201551,0.187984496124031,0.0007751937984496124,2.0,15,0.0
1910.0,2016,1939.0,2011.0,968.0,20.6,0.0005235602094240838,0.03365384615384615,0.7259615384615384,0.1886094674556213,0.004807692307692308,3.0,15,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,3.0,15,0.0
1797.0,2013,1979.0,2006.0,38.5,29.7,0.0005564830272676684,0.005805515239477504,0.6429608127721336,0.3047895500725689,0.0,0.0,5,0.0
1842.0,2015,1977.0,2009.0,858.0,27.3,0.0005428881650380022,0.0,0.6,0.3250574712643678,0.0,1.0,5,0.0
1844.0,2016,1981.0,2011.0,933.0,25.8,0.0005422993492407808,0.0009182736455463727,0.6235078053259872,0.3200183654729109,0.0,1.0,5,0.0
2594.0,2011,1944.0,2005.0,34.5,25.1,0.00038550501156515033,0.01944672692413037,0.7255546425636812,0.2311695425910709,0.0,0.0,8,0.0
2564.0,2012,1939.0,2004.0,36.9,24.1,0.000390015600624025,0.02146596858638744,0.7020942408376963,0.2447643979057592,0.0,1.0,8,0.0
2573.0,2013,1942.0,2005.0,35.4,24.8,0.000388651379712398,0.031265758951084216,0.7060010085728694,0.2372667675239536,0.0,2.0,8,0.0
2566.0,2014,1943.0,2007.0,6.0,25.6,0.0003897116134060795,0.036739974126778784,0.6934023285899095,0.2346701164294955,0.0,2.0,8,0.0
2636.0,2015,1943.0,2010.0,1430.0,24.3,0.00037936267071320183,0.06651162790697675,0.6734883720930233,0.2330232558139535,0.0,2.0,8,0.0
2571.0,2016,1949.0,2011.0,1531.0,25.3,0.0003889537145079736,0.06702601359268807,0.6550269510194516,0.25263651277243965,0.0,2.0,8,0.0
1033.0,2012,1939.0,2004.0,40.4,28.1,0.0019361084220716359,0.046312949640287766,0.6915467625899281,0.15377697841726615,0.0,0.0,10,0.0
1003.0,2013,1939.0,2007.0,41.1,27.3,0.001994017946161516,0.04924760601915185,0.6976744186046512,0.16187870497036025,0.0,2.0,10,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,0.0,10,0.0
3069.0,2012,1939.0,2005.0,40.0,23.4,0.0006516780710329097,0.04017021276595745,0.6444255319148936,0.27387234042553193,0.0,0.0,17,0.0
3050.0,2013,1939.0,2006.0,37.6,24.3,0.0013114754098360654,0.032002694963786424,0.6446016506653192,0.2873505137274718,0.0,2.0,17,0.0
3047.0,2014,1939.0,2009.0,6.6,23.7,0.0009845749917952085,0.037118272313143234,0.6397840391429054,0.2667454023958157,0.0,6.0,17,0.0
3077.0,2015,1939.0,2010.0,1551.0,23.0,0.0009749756256093598,0.02960526315789473,0.6384868421052632,0.2685855263157895,0.0001644736842105263,7.0,17,0.0
