,Geoid,Year,Eviction ID,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Tract,tract_year
160,6075016300,2014,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16300,163002014
161,6075016300,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16300,163002015
162,6075016300,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16300,163002016
163,6075016300,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16300,163002017
164,6075016400,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16400,164002014
165,6075016400,2016,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16400,164002016
166,6075016400,2017,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16400,164002017
167,6075016500,2012,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16500,165002012
168,6075016500,2013,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16500,165002013
169,6075016500,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16500,165002014
170,6075016500,2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16500,165002015
171,6075016500,2016,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16500,165002016
172,6075016500,2017,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16500,165002017
173,6075016500,2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16500,165002018
