,Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Year,Latitude,Longitude,Geoid
11390,M121592,300 Block Of Divisadero  Street,San Francisco,CA,94117.0,10/16/2012,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10/04/2015,5.0,Haight Ashbury,"(37.772683091502, -122.43721380440664)",2012,37.772683091502, -122.43721380440664,06075016700
11405,M162653,1300 Block Of Palou  Avenue,San Francisco,CA,94124.0,08/23/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10/16/2021,10.0,Bayview Hunters Point,"(37.731279456362486, -122.38626695592221)",2016,37.731279456362486, -122.38626695592221,06075023200
11448,M150899,200 Block Of Crescent  Avenue,San Francisco,CA,94110.0,04/21/2015,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,04/13/2018,9.0,Bernal Heights,"(37.735060092682566, -122.41916108929281)",2015,37.735060092682566, -122.41916108929281,06075025403
11456,M150633,1000 Block Of Pacific  Avenue,San Francisco,CA,94133.0,03/26/2015,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,03/19/2018,3.0,Nob Hill,"(37.79611702652966, -122.41265800569873)",2015,37.79611702652966, -122.41265800569873,06075010800
11472,M181514,900 Block Of Union  Street,San Francisco,CA,94133.0,05/15/2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,07/06/2023,3.0,Russian Hill,"(37.799706338787566, -122.41549370637637)",2018,37.799706338787566, -122.41549370637637,06075010300
11474,M181513,2300 Block Of Bryant  Street,San Francisco,CA,94110.0,05/14/2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,08/13/2023,9.0,Mission,"(37.756798160394425, -122.40945525050917)",2018,37.756798160394425, -122.40945525050917,Nan
11479,M181624,2200 Block Of 22nd  Avenue,San Francisco,CA,94116.0,05/21/2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,07/10/2023,4.0,Sunset/Parkside,"(37.745709758265036, -122.479031653533)",2018,37.745709758265036, -122.479031653533,06075032801
11506,M121589,1500 Block Of 8th  Avenue,San Francisco,CA,94122.0,10/10/2012,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10/09/2015,7.0,Inner Sunset,"(37.75942188934118, -122.46498535143392)",2012,37.75942188934118, -122.46498535143392,06075030301
11538,M142443,2400 Block Of Clay  Street,San Francisco,CA,94115.0,10/30/2014,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10/29/2017,2.0,Pacific Heights,"(37.79089708252059, -122.4331772153701)",2014,37.79089708252059, -122.4331772153701,06075013500
11541,M142483,3800 Block Of 26th  Street,San Francisco,CA,94131.0,12/10/2014,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11/21/2017,8.0,Noe Valley,"(37.74850944309004, -122.42597867792576)",2014,37.74850944309004, -122.42597867792576,06075021400
11550,M170311,1000 Block Of 14th  Street,San Francisco,CA,94114.0,02/14/2017,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,04/14/2022,8.0,Castro/Upper Market,"(37.767135531593745, -122.43774315786432)",2017,37.767135531593745, -122.43774315786432,06075017000
11588,M170601,1500 Block Of Grant  Avenue,San Francisco,CA,94133.0,03/15/2017,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,05/13/2022,3.0,North Beach,"(37.80124843366883, -122.40777592927581)",2017,37.80124843366883, -122.40777592927581,06075010600
11607,M162917,700 Block Of Geneva  Avenue,San Francisco,CA,94112.0,09/29/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11/26/2021,11.0,Outer Mission,"(37.718538917451774, -122.44337602882476)",2016,37.718538917451774, -122.44337602882476,06075026100
11636,M140001,900 Block Of Scott  Street,San Francisco,CA,94115.0,01/02/2014,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12/26/2016,5.0,Western Addition,"(37.77846338487699, -122.43685895903768)",2014,37.77846338487699, -122.43685895903768,06075015802
11668,M162640,600 Block Of Ellsworth  Street,San Francisco,CA,94110.0,08/11/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10/03/2021,9.0,Bernal Heights,"(37.73537559517718, -122.4148128389778)",2016,37.73537559517718, -122.4148128389778,06075025402
11702,M160147,2100 Block Of 41st  Avenue,San Francisco,CA,94116.0,01/22/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,03/19/2021,4.0,Sunset/Parkside,"(37.74667484533771, -122.49952072078068)",2016,37.74667484533771, -122.49952072078068,06075035300
11715,M132059,500 Block Of Belvedere  Street,San Francisco,CA,94117.0,12/27/2013,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12/26/2016,5.0,Haight Ashbury,"(37.7621967171978, -122.44794579689963)",2013,37.7621967171978, -122.44794579689963,06075017101
11760,M152596,100 Block Of Highland  Avenue,San Francisco,CA,94110.0,09/23/2015,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11/20/2020,9.0,Bernal Heights,"(37.73725402556151, -122.42210290880456)",2015,37.73725402556151, -122.42210290880456,06075025401
11761,M170060,2700 Block Of Pine  Street,San Francisco,CA,94115.0,01/12/2017,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,03/12/2022,2.0,Pacific Heights,"(37.78706062829049, -122.44109375440178)",2017,37.78706062829049, -122.44109375440178,06075015300
11764,M171771,1300 Block Of 40th  Avenue,San Francisco,CA,94122.0,07/13/2017,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,09/10/2022,4.0,Sunset/Parkside,"(37.761635942142334, -122.49963112223557)",2017,37.761635942142334, -122.49963112223557,06075035100
11804,M151089,3900 Block Of 19th  Street,San Francisco,CA,94114.0,05/05/2015,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,05/01/2018,8.0,Castro/Upper Market,"(37.75954514919606, -122.43153431374172)",2015,37.75954514919606, -122.43153431374172,06075020600
11806,M121563,2500 Block Of 46th  Avenue,San Francisco,CA,94116.0,08/27/2012,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,08/16/2015,4.0,Sunset/Parkside,"(37.738981789009195, -122.50435540721777)",2012,37.738981789009195, -122.50435540721777,06075035400
11814,M160984,2000 Block Of 24th  Avenue,San Francisco,CA,94116.0,03/21/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,05/08/2021,4.0,Sunset/Parkside,"(37.749344456161644, -122.48143605436364)",2016,37.749344456161644, -122.48143605436364,06075032802
11843,M163149,800 Block Of 36th  Avenue,San Francisco,CA,94121.0,09/30/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,09/21/2021,1.0,Outer Richmond,"(37.7729681396112, -122.49597461753558)",2016,37.7729681396112, -122.49597461753558,06075047802
11851,M130023,700 Block Of Kansas  Street,San Francisco,CA,94107.0,02/13/2013,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,02/08/2016,10.0,Potrero Hill,"(37.7602588006192, -122.40304058011972)",2013,37.7602588006192, -122.40304058011972,06075022704
11852,M141783,3200 Block Of Folsom  Street,San Francisco,CA,94110.0,09/10/2014,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,09/10/2017,9.0,Bernal Heights,"(37.745953203017294, -122.41352316822237)",2014,37.745953203017294, -122.41352316822237,06075025200
11859,M130290,200 Block Of Board  Street,San Francisco,CA,94112.0,03/18/2013,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,03/15/2016,11.0,Oceanview/Merced/Ingleside,"(37.71310619552459, -122.46079617947233)",2013,37.71310619552459, -122.46079617947233,06075031400
11860,M151272,100 Block Of Wawona  Street,San Francisco,CA,94127.0,05/21/2015,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,05/14/2018,7.0,West of Twin Peaks,"(37.7406809530965, -122.46733424888534)",2015,37.7406809530965, -122.46733424888534,06075030800
11861,M153118,5000 Block Of Mission  Street,San Francisco,CA,94112.0,11/12/2015,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,01/10/2021,11.0,Outer Mission,"(37.71810900489075, -122.43989216885845)",2015,37.71810900489075, -122.43989216885845,06075026100
