Id2,Geography,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Built 2005 or later,Estimate; YEAR STRUCTURE BUILT - Built 2000 to 2004,Estimate; YEAR STRUCTURE BUILT - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2005 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2000 to 2004,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1969 or earlier
6075031201,"Census Tract 312.01, San Francisco County, California",8.4,0,9,0,60,176,68,97,289,1059,305,465,296,242,99,203
6075031202,"Census Tract 312.02, San Francisco County, California",0,0,0,0,28,35,38,124,209,443,223,166,192,60,79,157
6075031301,"Census Tract 313.01, San Francisco County, California",6.4,0,0,0,111,0,54,84,398,641,153,327,255,135,228,107
6075031302,"Census Tract 313.02, San Francisco County, California",9.3,15,459,145,52,32,94,312,434,403,456,466,321,223,153,146
6075031400,"Census Tract 314, San Francisco County, California",2.1,18,11,60,88,125,299,225,291,814,694,263,326,271,196,141
6075032601,"Census Tract 326.01, San Francisco County, California",5.7,0,0,52,95,26,77,284,374,915,631,397,295,144,95,158
6075032602,"Census Tract 326.02, San Francisco County, California",6,0,21,20,22,35,29,248,212,1158,390,245,486,123,263,134
6075032700,"Census Tract 327, San Francisco County, California",3,0,10,0,17,57,256,427,784,880,749,524,460,212,239,175
6075032801,"Census Tract 328.01, San Francisco County, California",11.8,0,16,36,31,44,49,206,539,621,303,338,241,174,175,129
6075032802,"Census Tract 328.02, San Francisco County, California",5.8,0,65,40,0,82,23,87,482,732,309,269,441,94,166,145
6075032901,"Census Tract 329.01, San Francisco County, California",0.8,39,0,0,25,35,46,416,716,512,430,267,397,235,229,216
6075032902,"Census Tract 329.02, San Francisco County, California",2.4,0,0,18,0,20,38,240,754,256,306,212,370,123,184,99
6075033000,"Census Tract 330, San Francisco County, California",2.7,0,0,38,43,48,174,241,752,1450,672,307,809,424,184,275
6075033100,"Census Tract 331, San Francisco County, California",8.7,0,12,0,20,12,0,822,322,321,127,268,436,179,188,179
6075033201,"Census Tract 332.01, San Francisco County, California",11.6,0,102,0,111,88,85,417,70,10,463,121,139,29,20,9
6075033203,"Census Tract 332.03, San Francisco County, California",15.4,0,0,25,26,65,232,625,517,119,737,204,252,63,62,44
6075033204,"Census Tract 332.04, San Francisco County, California",11.3,0,0,83,70,158,30,815,458,135,999,75,219,146,53,60
6075035100,"Census Tract 351, San Francisco County, California",4.9,8,0,69,38,106,153,424,993,1022,763,573,628,287,177,247
6075035201,"Census Tract 352.01, San Francisco County, California",15.1,12,31,52,25,124,173,280,849,445,461,443,327,149,196,115
6075035202,"Census Tract 352.02, San Francisco County, California",8.9,30,43,65,8,285,280,264,228,659,675,355,293,209,76,88
6075035300,"Census Tract 353, San Francisco County, California",5.2,0,0,0,33,46,210,569,1381,247,436,598,475,298,207,342
6075035400,"Census Tract 354, San Francisco County, California",9.7,0,0,22,0,199,95,545,1168,333,505,428,505,274,212,208
6075040100,"Census Tract 401, San Francisco County, California",7.1,0,96,89,57,291,134,271,97,1098,707,468,438,172,129,68
6075040200,"Census Tract 402, San Francisco County, California",12.4,0,65,0,67,187,403,101,189,1512,893,510,350,134,125,199
6075042601,"Census Tract 426.01, San Francisco County, California",7.9,0,17,15,95,205,299,181,204,847,533,323,400,255,116,88
6075042602,"Census Tract 426.02, San Francisco County, California",5.9,0,11,34,56,16,142,102,130,1079,511,442,262,105,43,114
6075042700,"Census Tract 427, San Francisco County, California",6.8,26,60,16,193,283,358,317,258,1030,925,500,554,173,178,39
6075042800,"Census Tract 428, San Francisco County, California",12.3,11,11,0,17,18,48,9,95,823,181,168,211,155,97,93
6075045100,"Census Tract 451, San Francisco County, California",8.3,0,0,54,0,255,418,126,160,1219,759,538,364,129,179,77
6075045200,"Census Tract 452, San Francisco County, California",5.7,17,0,73,179,164,204,246,299,1801,712,768,686,296,171,181
6075047600,"Census Tract 476, San Francisco County, California",9.1,87,0,0,118,120,234,260,130,1449,671,500,389,292,190,138
6075047701,"Census Tract 477.01, San Francisco County, California",8.5,33,0,46,173,297,169,70,183,1100,415,287,422,324,278,169
6075047702,"Census Tract 477.02, San Francisco County, California",4.2,0,7,20,48,19,112,237,208,985,565,315,250,173,188,77
6075047801,"Census Tract 478.01, San Francisco County, California",17.7,0,18,0,54,126,16,237,251,1076,345,403,295,144,97,180
6075047802,"Census Tract 478.02, San Francisco County, California",2.9,0,88,41,120,109,127,150,404,640,560,331,411,114,71,143
6075047901,"Census Tract 479.01, San Francisco County, California",6.3,35,94,110,211,150,258,414,231,1273,981,558,378,302,132,251
6075047902,"Census Tract 479.02, San Francisco County, California",4.5,0,33,41,59,32,106,211,341,792,488,283,376,155,140,100
6075060100,"Census Tract 601, San Francisco County, California",18.2,12,24,9,0,139,210,210,184,446,558,443,9,0,0,0
6075060400,"Census Tract 604, San Francisco County, California",3.3,10,69,131,131,966,232,86,12,8,916,319,196,75,65,20
6075060502,"Census Tract 605.02, San Francisco County, California",8.5,0,12,0,0,89,107,289,354,178,506,193,115,53,50,25
6075060700,"Census Tract 607, San Francisco County, California",7.9,1458,1412,324,25,36,39,17,0,13,2508,366,142,44,0,0
