Id2,Geography,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2014 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 to 2013,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier
6075042602,"Census Tract 426.02, San Francisco County, California",0,0,20,24,66,131,105,66,87,1056,44,476,357,200,88,218
6075042700,"Census Tract 427, San Francisco County, California",0,63,26,82,231,258,419,309,209,1062,127,762,643,435,143,228
6075042800,"Census Tract 428, San Francisco County, California",0,0,17,3,26,31,49,68,91,746,29,212,293,142,54,167
6075045100,"Census Tract 451, San Francisco County, California",0,0,34,70,66,263,122,190,161,1353,33,786,545,453,105,187
6075045200,"Census Tract 452, San Francisco County, California",0,0,74,178,203,313,198,191,103,1773,80,1141,954,350,141,354
6075047600,"Census Tract 476, San Francisco County, California",0,0,12,0,113,357,103,124,124,1580,105,435,684,410,170,407
6075047701,"Census Tract 477.01, San Francisco County, California",0,0,44,169,23,243,183,108,264,1014,38,320,547,399,283,320
6075047702,"Census Tract 477.02, San Francisco County, California",0,0,10,35,48,173,97,180,141,1015,47,410,453,220,185,249
6075047801,"Census Tract 478.01, San Francisco County, California",0,0,18,24,51,36,49,181,197,1231,37,515,353,258,191,236
6075047802,"Census Tract 478.02, San Francisco County, California",0,0,78,47,133,97,126,152,282,707,35,564,360,219,145,154
6075047901,"Census Tract 479.01, San Francisco County, California",0,0,76,127,220,143,339,122,527,1265,116,691,834,434,239,365
6075047902,"Census Tract 479.02, San Francisco County, California",0,0,10,30,48,147,158,136,217,897,81,398,445,246,177,165
6075060100,"Census Tract 601, San Francisco County, California",0,0,9,0,13,86,263,239,168,591,72,946,288,0,0,0
6075060400,"Census Tract 604, San Francisco County, California",0,0,199,68,33,633,57,18,0,14,71,525,246,86,16,54
6075060502,"Census Tract 605.02, San Francisco County, California",0,9,87,49,17,74,78,198,372,194,21,260,439,100,75,56
6075060700,"Census Tract 607, San Francisco County, California",46,457,4111,711,87,22,23,30,22,27,471,2905,1778,32,0,0
